n1;n2;distance
0;1;8
0;2;10
0;3;11
0;4;14
0;5;13
0;6;18
0;7;15
0;8;24
0;9;23
0;10;28
0;11;21
0;12;33
0;13;31
0;14;16
1;2;2
1;3;3
1;4;6
1;5;5
1;6;10
1;7;7
1;8;16
1;9;15
1;10;20
1;11;13
1;12;25
1;13;23
1;14;8
2;3;5
2;4;8
2;5;3
2;6;8
2;7;5
2;8;14
2;9;13
2;10;18
2;11;15
2;12;23
2;13;21
2;14;6
3;4;4
3;5;4
3;6;9
3;7;6
3;8;15
3;9;14
3;10;19
3;11;10
3;12;24
3;13;22
3;14;7
4;5;8
4;6;13
4;7;10
4;8;19
4;9;18
4;10;23
4;11;14
4;12;28
4;13;26
4;14;11
5;6;5
5;7;2
5;8;11
5;9;10
5;10;15
5;11;14
5;12;20
5;13;18
5;14;3
6;7;4
6;8;10
6;9;7
6;10;12
6;11;19
6;12;17
6;13;15
6;14;2
7;8;10
7;9;8
7;10;13
7;11;16
7;12;18
7;13;16
7;14;2
8;9;17
8;10;22
8;11;25
8;12;27
8;13;25
8;14;8
9;10;5
9;11;15
9;12;10
9;13;8
9;14;9
10;11;10
10;12;5
10;13;7
10;14;14
11;12;15
11;13;17
11;14;17
12;13;2
12;14;19
13;14;17
