n1;n2;distance
0;0;0
0;1;3
0;39;6
0;56;4
0;61;6
0;65;6
0;78;6
0;80;6
0;87;4
0;97;5
0;2;15
0;15;18
0;34;20
0;35;20
0;45;10
0;63;11
0;83;18
0;94;17
0;3;24
0;6;23
0;9;29
0;18;25
0;19;29
0;22;25
0;54;24
0;66;24
0;67;27
0;81;22
0;85;23
0;93;25
0;98;27
0;4;47
0;36;40
0;77;44
0;107;42
0;108;40
0;5;39
0;11;33
0;42;36
0;24;27
0;86;24
0;7;28
0;10;31
0;25;28
0;37;33
0;40;34
0;41;20
0;49;21
0;52;26
0;57;37
0;70;24
0;84;30
0;103;21
0;104;31
0;8;17
0;12;15
0;53;14
0;62;17
0;90;19
0;91;21
0;23;32
0;92;30
0;64;35
0;73;33
0;79;38
0;89;31
0;96;34
0;106;34
0;109;34
0;16;18
0;38;9
0;47;16
0;60;14
0;74;13
0;13;16
0;21;18
0;28;19
0;32;15
0;50;11
0;68;12
0;14;39
0;31;32
0;33;32
0;69;40
0;76;39
0;99;37
0;102;32
0;17;9
0;20;13
0;27;14
0;75;14
0;95;10
0;100;27
0;82;34
0;46;26
0;59;14
0;26;39
0;29;46
0;30;42
0;43;42
0;44;35
0;72;35
0;101;12
0;105;18
0;51;29
0;71;32
0;88;33
0;48;36
0;55;8
0;58;9
1;0;3
1;1;0
1;39;9
1;56;6
1;61;5
1;65;9
1;78;9
1;80;9
1;87;6
1;97;6
1;2;17
1;15;20
1;34;22
1;35;22
1;45;12
1;63;13
1;83;20
1;94;19
1;3;26
1;6;25
1;9;31
1;18;27
1;19;31
1;22;27
1;54;26
1;66;26
1;67;29
1;81;24
1;85;25
1;93;27
1;98;29
1;4;49
1;36;42
1;77;46
1;107;44
1;108;42
1;5;41
1;11;35
1;42;38
1;24;29
1;86;27
1;7;30
1;10;32
1;25;29
1;37;35
1;40;36
1;41;21
1;49;23
1;52;28
1;57;38
1;70;25
1;84;31
1;103;23
1;104;32
1;8;19
1;12;17
1;53;16
1;62;19
1;90;21
1;91;23
1;23;34
1;92;32
1;64;37
1;73;35
1;79;40
1;89;33
1;96;36
1;106;36
1;109;36
1;16;19
1;38;11
1;47;17
1;60;15
1;74;14
1;13;19
1;21;21
1;28;22
1;32;17
1;50;14
1;68;15
1;14;41
1;31;34
1;33;34
1;69;42
1;76;41
1;99;39
1;102;34
1;17;11
1;20;15
1;27;16
1;75;16
1;95;13
1;100;29
1;82;36
1;46;29
1;59;17
1;26;41
1;29;48
1;30;44
1;43;44
1;44;37
1;72;37
1;101;14
1;105;20
1;51;32
1;71;35
1;88;36
1;48;38
1;55;10
1;58;10
39;0;6
39;1;9
39;39;0
39;56;3
39;61;10
39;65;2
39;78;3
39;80;9
39;87;5
39;97;10
39;2;13
39;15;16
39;34;18
39;35;18
39;45;8
39;63;9
39;83;16
39;94;13
39;3;22
39;6;19
39;9;27
39;18;23
39;19;25
39;22;21
39;54;21
39;66;22
39;67;25
39;81;18
39;85;19
39;93;23
39;98;25
39;4;45
39;36;38
39;77;43
39;107;40
39;108;38
39;5;38
39;11;32
39;42;35
39;24;23
39;86;20
39;7;27
39;10;30
39;25;28
39;37;32
39;40;33
39;41;21
39;49;20
39;52;25
39;57;36
39;70;24
39;84;30
39;103;20
39;104;32
39;8;15
39;12;14
39;53;13
39;62;16
39;90;18
39;91;20
39;23;28
39;92;28
39;64;33
39;73;32
39;79;36
39;89;30
39;96;33
39;106;33
39;109;33
39;16;19
39;38;9
39;47;19
39;60;18
39;74;16
39;13;12
39;21;14
39;28;15
39;32;10
39;50;7
39;68;8
39;14;35
39;31;28
39;33;28
39;69;36
39;76;35
39;99;33
39;102;28
39;17;4
39;20;8
39;27;9
39;75;9
39;95;6
39;100;26
39;82;30
39;46;22
39;59;10
39;26;35
39;29;42
39;30;38
39;43;38
39;44;33
39;72;33
39;101;8
39;105;14
39;51;25
39;71;28
39;88;29
39;48;34
39;55;4
39;58;14
56;0;4
56;1;6
56;39;3
56;56;0
56;61;7
56;65;3
56;78;5
56;80;7
56;87;3
56;97;8
56;2;14
56;15;17
56;34;19
56;35;19
56;45;9
56;63;10
56;83;17
56;94;15
56;3;23
56;6;21
56;9;28
56;18;24
56;19;27
56;22;23
56;54;23
56;66;23
56;67;26
56;81;20
56;85;21
56;93;24
56;98;26
56;4;46
56;36;39
56;77;43
56;107;41
56;108;39
56;5;38
56;11;32
56;42;35
56;24;25
56;86;21
56;7;27
56;10;30
56;25;28
56;37;32
56;40;33
56;41;21
56;49;20
56;52;25
56;57;36
56;70;24
56;84;30
56;103;20
